,km_driven,Chevrolet,Expensive,Ford,Honda,Hyundai,Mahindra,Maruti,Renault,Skoda,Tata,Toyota,Volkswagen,selling_price,fuel_Diesel,fuel_LPG,fuel_Petrol,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
91,100000,False,False,True,False,False,False,False,False,False,False,False,False,455000,False,False,True,False,False,False,False
92,27233,False,False,False,True,False,False,False,False,False,False,False,False,351000,False,False,True,False,True,False,False
93,60000,False,False,False,False,False,False,False,False,False,True,False,False,535000,False,False,True,False,True,False,False
94,6500,False,False,False,False,False,False,False,True,False,False,False,False,175000,False,False,True,False,False,False,False
95,40000,False,False,False,False,False,False,False,False,False,False,True,False,525000,False,False,True,False,False,False,False
96,110000,False,False,False,False,False,False,True,False,False,False,False,False,600000,True,False,False,False,False,False,False
97,150000,False,False,False,False,False,False,False,False,False,True,False,False,565000,False,False,True,False,False,False,False
98,70000,False,False,False,False,True,False,False,False,False,False,False,False,120000,False,False,True,False,False,False,True
99,60000,True,False,False,False,False,False,False,False,False,False,False,False,725000,True,False,False,False,False,False,False
100,44588,False,False,False,False,True,False,False,False,False,False,False,False,185000,False,False,True,False,True,False,False
101,13000,False,False,False,False,False,False,True,False,False,False,False,False,200000,True,False,False,False,True,False,False
102,50478,False,False,True,False,False,False,False,False,False,False,False,False,615000,False,False,True,False,False,False,False
103,32000,False,False,False,False,True,False,False,False,False,False,False,False,270000,False,False,True,False,False,False,True
104,45000,False,False,False,False,False,False,False,False,False,True,False,False,610000,False,False,True,False,False,False,False
105,120000,False,False,False,False,False,True,False,False,False,False,False,False,625000,True,False,False,False,True,False,False
106,45000,False,False,False,False,True,False,False,False,False,False,False,False,400000,False,False,True,False,True,False,False
107,120000,False,False,False,False,False,False,False,True,False,False,False,False,866000,False,False,True,False,False,False,False
108,100000,False,False,False,False,True,False,False,False,False,False,False,False,700000,False,False,True,False,False,False,False
109,2000,False,True,False,False,False,False,False,False,False,False,False,False,300000,False,False,True,False,False,False,False
110,26000,False,False,False,False,True,False,False,False,False,False,False,False,1700000,True,False,False,False,False,False,False
111,111000,False,False,False,False,True,False,False,False,False,False,False,False,375000,True,False,False,False,False,False,False
112,40000,False,False,False,False,False,False,True,False,False,False,False,False,522000,True,False,False,False,True,False,False
113,50000,False,False,False,False,False,False,True,False,False,False,False,False,451999,True,False,False,False,False,False,False
114,90000,False,False,False,False,False,False,True,False,False,False,False,False,300000,False,False,True,False,True,False,False
115,31000,False,False,False,False,False,False,True,False,False,False,False,False,475000,False,False,True,False,False,False,False
116,50000,False,False,False,False,False,False,False,False,False,True,False,False,780000,True,False,False,False,False,False,False
117,70000,False,False,True,False,False,False,False,False,False,False,False,False,595000,False,False,True,False,False,False,False
118,40000,False,False,False,False,True,False,False,False,False,False,False,False,440000,False,False,True,False,False,False,False
119,15000,False,False,False,False,False,False,False,False,False,True,False,False,300000,True,False,False,False,True,False,False
120,190000,False,False,False,False,False,False,False,False,False,False,True,False,400000,True,False,False,False,False,False,True
121,54723,False,False,False,False,False,False,True,False,False,False,False,False,1140000,True,False,False,False,False,False,False
122,2000,False,True,False,False,False,False,False,False,False,False,False,False,850000,True,False,False,False,False,False,False
123,60000,False,False,False,False,False,False,False,False,False,False,True,False,370000,True,False,False,True,False,False,False
124,5229,False,False,False,False,False,False,False,False,False,False,True,False,350000,False,False,True,False,False,False,False
125,70000,False,False,False,False,False,True,False,False,False,False,False,False,360000,False,False,True,False,True,False,False
126,120000,False,False,False,False,True,False,False,False,False,False,False,False,105000,False,False,True,True,False,False,False
127,71500,False,False,False,False,True,False,False,False,False,False,False,False,625000,True,False,False,False,True,False,False
128,100000,False,False,False,False,True,False,False,False,False,False,False,False,135000,False,False,True,False,True,False,False
129,40000,False,False,False,False,True,False,False,False,False,False,False,False,700000,True,False,False,False,True,False,False
130,80000,False,False,False,False,False,False,True,False,False,False,False,False,690000,False,False,True,False,False,False,False
131,80000,False,False,False,False,False,False,True,False,False,False,False,False,3975000,True,False,False,False,False,False,False
132,120000,False,False,False,False,False,False,False,False,False,False,True,False,5150000,False,False,True,False,False,False,False
133,1303,False,False,False,True,False,False,False,False,False,False,False,False,3200000,True,False,False,False,False,False,False
134,120000,False,False,False,False,False,False,False,True,False,False,False,False,4100000,False,False,True,False,False,False,False
135,20000,False,False,False,False,False,False,True,False,False,False,False,False,4500000,True,False,False,False,False,False,False
136,80000,False,False,False,False,False,True,False,False,False,False,False,False,6000000,True,False,False,False,False,False,False
137,103000,False,False,False,False,False,True,False,False,False,False,False,False,3790000,True,False,False,False,False,False,False
138,25000,False,False,True,False,False,False,False,False,False,False,False,False,2150000,True,False,False,False,False,False,False
139,28000,False,False,False,False,False,False,False,False,False,True,False,False,5800000,True,False,False,False,False,False,False
140,60000,False,False,True,False,False,False,False,False,False,False,False,False,1864999,False,False,True,False,False,False,False
141,40000,False,False,False,False,False,False,True,False,False,False,False,False,2700000,True,False,False,False,False,False,False
142,10000,False,False,False,False,True,False,False,False,False,False,False,False,1750000,False,False,True,False,False,False,False
143,80000,False,False,False,False,False,False,True,False,False,False,False,False,795000,False,False,True,False,False,False,False
144,50000,False,False,False,False,True,False,False,False,False,False,False,False,625000,False,False,True,False,False,False,False
145,17000,False,True,False,False,False,False,False,False,False,False,False,False,3400000,True,False,False,False,False,False,False
146,49500,False,False,False,False,True,False,False,False,False,False,False,False,2650000,True,False,False,False,False,False,False
147,120000,False,False,False,False,False,False,False,False,False,True,False,False,535000,True,False,False,False,False,False,False
148,86017,False,False,True,False,False,False,False,False,False,False,False,False,5850000,True,False,False,False,False,False,False
149,7000,False,False,True,False,False,False,False,False,False,False,False,False,975000,False,False,True,False,True,False,False
